ID_Viaje,Hora_inicio,Hora_fin,N_pasajeros,Distancia_KM,Forma_de_pago,Tarfia_base,Extra,Tax,Propina,Coste_Peaje,Recargo_adicional,Importe_total,Zona_origen,Zona_destino
960,01/01/2025 0:49,01/01/2025 0:56,1,0.52,1,7.9,1.0,0.5,2.58,0.0,1,15.48,Union Sq,Union Sq
961,01/01/2025 0:57,01/01/2025 1:32,2,6.03,1,35.9,1.0,0.5,8.18,0.0,1,49.08,Union Sq,Steinway
962,01/01/2025 0:11,01/01/2025 0:40,2,5.49,1,30.3,1.0,0.5,3.0,0.0,1,38.3,Gramercy,Bloomingdale
963,01/01/2025 0:56,01/01/2025 1:20,4,4.46,1,26.1,1.0,0.5,6.22,0.0,1,37.32,Lincoln Square East,Greenwich Village North
964,01/01/2025 0:16,01/01/2025 0:22,1,0.84,1,7.9,1.0,0.5,2.58,0.0,1,15.48,Upper West Side South,Lincoln Square West
965,01/01/2025 0:39,01/01/2025 0:53,1,3.16,1,17.7,1.0,0.5,4.54,0.0,1,27.24,Central Park,Sunnyside
966,01/01/2025 0:31,01/01/2025 0:35,1,0.62,1,5.8,1.0,0.5,2.16,0.0,1,12.96,Flatiron,West Village
967,01/01/2025 0:09,01/01/2025 0:11,4,1.15,1,6.5,1.0,0.5,1.5,0.0,1,13.0,Upper West Side North,Morningside Heights
968,01/01/2025 0:29,01/01/2025 0:50,4,11.58,2,45.0,1.0,0.5,0.0,0.0,1,47.5,Manhattan Valley,Norwood
969,01/01/2025 0:12,01/01/2025 0:16,1,1.31,1,7.2,1.0,0.5,2.44,0.0,1,14.64,Kips Bay,Sutton Place/Turtle Bay North
970,01/01/2025 0:19,01/01/2025 0:28,2,1.12,1,10.7,1.0,0.5,3.0,0.0,1,18.7,Sutton Place/Turtle Bay North,Lincoln Square East
971,01/01/2025 0:29,01/01/2025 1:02,2,2.59,1,26.8,1.0,0.5,6.36,0.0,1,38.16,Lincoln Square East,Midtown South
972,01/01/2025 0:21,01/01/2025 0:51,1,3.64,1,28.2,1.0,0.5,6.64,0.0,1,39.84,Midtown Center,Upper West Side North
973,01/01/2025 0:53,01/01/2025 0:57,2,1.0,2,6.5,1.0,0.5,0.0,0.0,1,11.5,Upper West Side North,Lincoln Square East
974,01/01/2025 0:12,01/01/2025 0:20,1,1.54,2,10.0,1.0,0.5,0.0,0.0,1,15.0,Upper East Side South,Yorkville West
975,01/01/2025 0:22,01/01/2025 0:37,1,3.39,1,17.7,1.0,0.5,4.54,0.0,1,27.24,Yorkville West,Gramercy
976,01/01/2025 0:40,01/01/2025 0:46,1,1.01,1,7.9,1.0,0.5,2.58,0.0,1,15.48,Gramercy,Midtown South
977,01/01/2025 0:17,01/01/2025 0:24,2,1.24,1,8.6,1.0,0.5,2.72,0.0,1,16.32,Murray Hill,Union Sq
978,01/01/2025 0:50,01/01/2025 0:55,4,1.26,1,7.9,1.0,0.5,2.58,0.0,1,15.48,Murray Hill,Stuy Town/Peter Cooper Village
979,01/01/2025 0:56,01/01/2025 1:07,2,1.78,1,12.8,1.0,0.5,5.34,0.0,1,23.14,Stuy Town/Peter Cooper Village,Greenwich Village South
980,01/01/2025 0:26,01/01/2025 0:33,2,1.31,2,9.3,1.0,0.5,0.0,0.0,1,14.3,Yorkville East,Upper East Side South
981,01/01/2025 0:58,01/01/2025 1:02,2,0.25,2,5.1,1.0,0.5,0.0,0.0,1,10.1,Upper East Side South,Midtown North
982,01/01/2025 0:08,01/01/2025 0:20,1,2.46,1,14.2,1.0,0.5,2.0,0.0,1,21.2,West Chelsea/Hudson Yards,Clinton East
983,01/01/2025 0:32,01/01/2025 1:13,4,6.29,2,-38.7,-1.0,-0.5,0.0,0.0,-1,-43.7,Clinton East,Williamsburg (South Side)
984,01/01/2025 0:32,01/01/2025 1:13,4,6.29,2,38.7,1.0,0.5,0.0,0.0,1,43.7,Clinton East,Williamsburg (South Side)
985,01/01/2025 0:23,01/01/2025 0:25,1,0.25,1,4.4,1.0,0.5,1.88,0.0,1,11.28,Midtown Center,Midtown Center
986,01/01/2025 0:26,01/01/2025 0:38,1,1.11,2,11.4,1.0,0.5,0.0,0.0,1,16.4,Midtown Center,Murray Hill
987,01/01/2025 0:26,01/01/2025 0:48,2,2.8,1,20.5,3.5,0.5,5.1,0.0,1,30.6,Greenwich Village North,Midtown East
988,01/01/2025 0:50,01/01/2025 0:55,2,0.7,1,7.2,3.5,0.5,2.4,0.0,1,14.6,Sutton Place/Turtle Bay North,Upper East Side South
989,01/01/2025 0:24,01/01/2025 0:42,1,5.27,1,25.4,1.0,0.5,0.0,0.0,1,30.4,Murray Hill,Financial District North
990,01/01/2025 0:27,01/01/2025 0:36,2,1.08,1,9.3,1.0,0.5,3.58,0.0,1,17.88,Union Sq,West Chelsea/Hudson Yards
991,01/01/2025 0:38,01/01/2025 1:08,1,1.9,1,24.7,1.0,0.5,2.0,0.0,1,31.7,West Chelsea/Hudson Yards,Midtown Center
992,01/01/2025 0:25,01/01/2025 0:29,3,0.96,1,7.2,1.0,0.5,1.94,0.0,1,11.64,Upper West Side North,Upper East Side North
993,01/01/2025 0:45,01/01/2025 0:52,1,1.53,2,9.3,1.0,0.5,0.0,0.0,1,14.3,Yorkville West,Lenox Hill West
994,01/01/2025 0:56,01/01/2025 1:00,1,0.69,2,6.5,1.0,0.5,0.0,0.0,1,11.5,Lenox Hill West,Upper East Side North
995,01/01/2025 0:13,01/01/2025 0:19,1,1.14,2,8.6,1.0,0.5,0.0,0.0,1,13.6,Upper East Side South,Lenox Hill West
996,01/01/2025 0:22,01/01/2025 0:35,1,2.46,1,14.2,1.0,0.5,4.0,0.0,1,23.2,Lenox Hill West,Upper West Side North
997,01/01/2025 0:58,01/01/2025 1:17,1,3.5,1,20.5,1.0,0.5,2.55,0.0,1,28.05,Clinton West,Yorkville East
998,01/01/2025 0:22,01/01/2025 0:29,1,1.1,1,7.2,3.5,0.5,4.0,0.0,1,16.2,Upper West Side South,Upper West Side North
999,01/01/2025 0:30,01/01/2025 0:44,1,2.3,1,13.5,3.5,0.5,3.7,0.0,1,22.2,Upper West Side North,Upper East Side South
1000,01/01/2025 0:59,01/01/2025 1:16,1,2.4,1,14.9,3.5,0.5,4.0,0.0,1,23.9,Upper West Side South,Yorkville East
1001,01/01/2025 0:08,01/01/2025 0:16,4,1.53,1,10.0,1.0,0.5,2.25,0.0,1,17.25,Greenwich Village South,Flatiron
